LinkS;TranspS;Instance;Demands;OF;Formulation;CD;OSNR;GNpy;Bands;Reinforcements;Cuts;Prepro
1.5x;efficient;European_18_40;10-b;NLUS;0;1;1;0;1;0;0;2;
1.5x;efficient;European_18_40;70-b;TUS;0;1;1;0;1;0;0;2;
1.5x;efficient;European_18_40;70-b;NLUS;0;1;1;0;1;0;0;2;
1.5x;efficient;European_18_40;90;TUS;0;1;1;0;1;0;0;2;
1.5x;efficient;European_18_40;90;NLUS;0;1;1;0;1;0;0;2;
1.5x;efficient;European_18_40;60;TUS;0;1;1;0;1;0;0;2;
1.5x;efficient;European_18_40;60;NLUS;0;1;1;0;1;0;0;2;
1.5x;efficient;European_18_40;10;TUS;0;1;1;0;1;0;0;2;
1.5x;efficient;European_18_40;10;NLUS;0;1;1;0;1;0;0;2;
1.5x;efficient;European_18_40;50;TUS;0;1;1;0;1;0;0;2;
1.5x;efficient;European_18_40;50;NLUS;0;1;1;0;1;0;0;2;
1.5x;efficient;European_18_40;60-b;TUS;0;1;1;0;1;0;0;2;
1.5x;efficient;European_18_40;60-b;NLUS;0;1;1;0;1;0;0;2;
1.5x;efficient;European_18_40;20-b;TUS;0;1;1;0;1;0;0;2;
1.5x;efficient;European_18_40;20-b;NLUS;0;1;1;0;1;0;0;2;
1.5x;efficient;European_18_40;30-b;TUS;0;1;1;0;1;0;0;2;
1.5x;efficient;European_18_40;30-b;NLUS;0;1;1;0;1;0;0;2;
1.5x;efficient;European_18_40;70;TUS;0;1;1;0;1;0;0;2;
1.5x;efficient;European_18_40;70;NLUS;0;1;1;0;1;0;0;2;
1.5x;efficient;European_18_40;40;TUS;0;1;1;0;1;0;0;2;
1.5x;efficient;European_18_40;40;NLUS;0;1;1;0;1;0;0;2;
1.5x;efficient;European_18_40;20;TUS;0;1;1;0;1;0;0;2;
1.5x;efficient;European_18_40;20;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;90-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;90-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;100-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;100-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;80-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;80-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;40-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;40-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;80;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;80;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;100;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;100;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;50-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;50-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;30;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;30;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;10-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;10-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;70-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;70-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;90;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;90;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;60;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;60;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;10;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;10;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;50;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;50;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;60-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;60-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;20-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;20-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;30-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;30-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;70;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;70;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;40;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;40;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;20;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;German_17_26;20;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;90-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;90-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;100-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;100-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;80-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;80-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;40-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;40-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;80;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;80;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;100;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;100;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;50-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;50-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;30;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;30;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;10-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;10-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;70-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;70-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;90;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;90;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;60;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;60;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;10;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;10;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;50;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;50;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;60-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;60-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;20-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;20-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;30-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;30-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;70;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;70;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;40;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;40;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;20;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;Nsfnet_14_21;20;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;90-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;90-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;100-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;100-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;80-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;80-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;40-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;40-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;80;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;80;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;100;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;100;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;50-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;50-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;30;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;30;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;10-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;10-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;70-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;70-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;90;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;90;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;60;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;60;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;10;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;10;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;50;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;50;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;60-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;60-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;20-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;20-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;30-b;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;30-b;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;70;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;70;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;40;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;40;NLUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;20;TUS;0;1;1;0;1;0;0;2;
2x;maxData200;European_18_40;20;NLUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;90-b;TUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;90-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;100-b;TUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;100-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;80-b;TUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;80-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;40-b;TUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;40-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;80;TUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;80;NLUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;100;TUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;100;NLUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;50-b;TUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;50-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;30;TUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;30;NLUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;10-b;TUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;10-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;70-b;TUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;70-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;90;TUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;90;NLUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;60;TUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;60;NLUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;10;TUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;10;NLUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;50;TUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;50;NLUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;60-b;TUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;60-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;20-b;TUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;20-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;30-b;TUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;30-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;70;TUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;70;NLUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;40;TUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;40;NLUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;20;TUS;0;1;1;0;1;0;0;2;
2x;random;German_17_26;20;NLUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;90-b;TUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;90-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;100-b;TUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;100-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;80-b;TUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;80-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;40-b;TUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;40-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;80;TUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;80;NLUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;100;TUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;100;NLUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;50-b;TUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;50-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;30;TUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;30;NLUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;10-b;TUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;10-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;70-b;TUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;70-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;90;TUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;90;NLUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;60;TUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;60;NLUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;10;TUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;10;NLUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;50;TUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;50;NLUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;60-b;TUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;60-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;20-b;TUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;20-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;30-b;TUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;30-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;70;TUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;70;NLUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;40;TUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;40;NLUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;20;TUS;0;1;1;0;1;0;0;2;
2x;random;Nsfnet_14_21;20;NLUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;90-b;TUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;90-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;100-b;TUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;100-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;80-b;TUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;80-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;40-b;TUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;40-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;80;TUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;80;NLUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;100;TUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;100;NLUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;50-b;TUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;50-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;30;TUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;30;NLUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;10-b;TUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;10-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;70-b;TUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;70-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;90;TUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;90;NLUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;60;TUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;60;NLUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;10;TUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;10;NLUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;50;TUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;50;NLUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;60-b;TUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;60-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;20-b;TUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;20-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;30-b;TUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;30-b;NLUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;70;TUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;70;NLUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;40;TUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;40;NLUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;20;TUS;0;1;1;0;1;0;0;2;
2x;random;European_18_40;20;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;90-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;90-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;100-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;100-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;80-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;80-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;40-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;40-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;80;TUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;80;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;100;TUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;100;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;50-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;50-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;30;TUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;30;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;10-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;10-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;70-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;70-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;90;TUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;90;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;60;TUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;60;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;10;TUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;10;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;50;TUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;50;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;60-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;60-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;20-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;20-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;30-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;30-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;70;TUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;70;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;40;TUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;40;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;20;TUS;0;1;1;0;1;0;0;2;
2x;efficient;German_17_26;20;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;90-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;90-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;100-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;100-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;80-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;80-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;40-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;40-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;80;TUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;80;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;100;TUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;100;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;50-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;50-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;30;TUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;30;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;10-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;10-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;70-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;70-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;90;TUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;90;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;60;TUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;60;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;10;TUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;10;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;50;TUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;50;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;60-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;60-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;20-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;20-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;30-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;30-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;70;TUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;70;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;40;TUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;40;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;20;TUS;0;1;1;0;1;0;0;2;
2x;efficient;Nsfnet_14_21;20;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;90-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;90-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;100-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;100-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;80-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;80-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;40-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;40-b;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;80;TUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;80;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;100;TUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;100;NLUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;50-b;TUS;0;1;1;0;1;0;0;2;
2x;efficient;European_18_40;50-b;NLUS;0;1;1;0;1;0;0;2;
